"id","partisan_score","misinfo_score","misinfo_score_weighted"
2334373277,0.949,0.716,0.712
9.73e+17,NA,NA,NA
123873223,1,0.779,0.807
16693494,-0.875,0.427,0.449
752176626,1,0.709,0.674
2257614260,NA,NA,NA
1467345817,1,0.746,0.869
2339945854,NA,0.441,0.441
124730664,0.92,0.672,0.651
353432348,-0.333,0.588,0.612
2562268036,1,0.709,0.727
2846662750,1,0.837,0.73
152692049,1,0.774,0.771
2473282554,1,0.718,0.724
2386087811,1,0.648,0.708
393264911,1,0.738,0.769
1270040346,0.241,0.529,0.538
4729045654,NA,NA,NA
1218327505,0.953,0.665,0.676
434388473,0.625,0.654,0.625
7.52e+17,NA,NA,NA
570816464,1,0.722,0.641
1029872767,0.818,0.697,0.763
21840553,1,0.794,0.897
452098509,0.778,0.769,0.78
46710991,0.84,0.66,0.669
2871909807,0.913,0.757,0.718
1377697274,1,0.78,0.663
3033801688,1,0.603,0.627
9.83e+17,NA,NA,NA
1725119731,1,0.894,0.89
389521252,0.818,0.718,0.776
3242282429,1,0.726,0.735
3435940588,0.865,0.655,0.648
175243720,1,0.754,0.762
3124509220,1,0.85,0.803
9.03e+17,NA,NA,NA
108803136,0.818,0.672,0.728
2204994903,NA,NA,NA
2705030808,0.958,0.641,0.611
2380549591,1,0.692,0.715
2190334998,-1,0.395,0.43
9.13e+17,NA,NA,NA
2443124505,0.857,0.702,0.72
2214793560,-1,0.514,0.485
259382116,1,0.844,0.81
3037519733,1,0.769,0.748
1219579814,NA,0.274,0.28
400469021,-0.765,0.452,0.469
2455478245,0.818,0.721,0.711
2944410062,0.917,0.694,0.75
721263993,1,0.724,0.732
294830333,-0.833,0.458,0.426
7.89e+17,NA,NA,NA
52191473,0.714,0.649,0.619
9.01e+17,NA,NA,NA
1011865646,1,0.723,0.859
18078448,-1,0.25,0.25
1346050812,0.9,0.651,0.652
22789029,1,0.718,0.665
555450691,0.875,0.731,0.688
7.29e+17,NA,NA,NA
46448402,1,0.711,0.688
32719522,0.917,0.678,0.643
28765793,0.429,0.628,0.641
8.64e+17,NA,NA,NA
243585063,0,0.564,0.546
1908232255,1,0.613,0.579
7.69e+17,NA,NA,NA
1851877248,0.871,0.698,0.629
8.75e+17,NA,NA,NA
501583288,0.364,0.595,0.574
52958962,0.92,0.707,0.715
8.29e+17,NA,NA,NA
284291761,-0.85,0.452,0.455
4505583455,1,0.673,0.666
8.93e+17,NA,NA,NA
2248922893,1,0.837,0.96
43948485,1,0.697,0.637
35926848,0.913,0.711,0.684
15262741,1,0.705,0.72
50478299,-0.857,0.425,0.414
9.69e+17,NA,NA,NA
35887395,1,0.619,0.603
381686932,1,0.74,0.729
195697458,0,0.478,0.502
8.21e+17,NA,NA,NA
2326604153,NA,NA,NA
124412467,0.714,0.81,0.788
35680069,0.875,0.667,0.638
926339581,1,0.783,0.783
718930349,0.939,0.672,0.649
17204460,-0.947,0.43,0.414
2538330252,0.931,0.68,0.688
30315515,0.92,0.713,0.73
223535580,1,0.764,0.779
9.63e+17,NA,NA,NA
8.27e+17,NA,NA,NA
923634799,-0.091,0.503,0.46
795630211,-0.419,0.459,0.439
2294193683,-1,0.423,0.423
93341319,-1,0.409,0.372
898979912,-0.946,0.413,0.413
189496721,-0.877,0.443,0.431
2680194549,-0.922,0.398,0.413
2198842652,-0.729,0.405,0.421
1881402330,-0.778,0.4,0.376
26417015,-1,0.507,0.555
18299355,0.161,0.562,0.607
3150800516,1,0.811,0.885
49800332,-0.98,0.433,0.441
8.49e+17,NA,NA,NA
8.16e+17,NA,NA,NA
2750799759,-0.934,0.435,0.41
1410527701,0.818,0.643,0.619
259121785,NA,0.537,0.535
1655198150,1,0.72,0.704
91865200,-0.943,0.424,0.404
574610719,-0.829,0.448,0.449
